cumun,nom_municipi,n_seccions,AMB,Corridor_Besos_Llobregat,Edu_66_10kh,B30,FSM_Valles
08001,Abrera,8,0,0,0,0,0
08002,Aguilar de Segarra,1,0,0,0,0,0
08003,Alella,5,0,0,0,0,0
08004,Alpens,1,0,0,0,0,0
08005,"Ametlla del Vallès, L'",5,0,0,0,0,0
08006,Arenys de Mar,9,0,0,1,0,0
08007,Arenys de Munt,5,0,0,0,0,0
08008,Argençola,1,0,0,0,0,0
08009,Argentona,9,0,0,0,0,0
08010,Artés,4,0,0,0,0,0
08011,Avià,1,0,0,0,0,0
08012,Avinyó,1,0,0,0,0,0
08013,Avinyonet del Penedès,1,0,0,0,0,0
08014,Aiguafreda,1,0,0,0,0,0
08015,Badalona,149,1,1,1,0,0
08016,Bagà,1,0,0,0,0,0
08017,Balenyà,3,0,0,0,0,0
08018,Balsareny,2,0,0,0,0,0
08019,Barcelona,1068,1,1,1,0,0
08020,Begues,3,1,0,0,0,0
08021,Bellprat,1,0,0,0,0,0
08022,Berga,13,0,0,0,0,0
08023,Bigues i Riells del Fai,5,0,0,0,0,0
08024,Borredà,1,0,0,0,0,0
08025,"Bruc, El",1,0,0,0,0,0
08026,"Brull, El",1,0,0,0,0,0
08027,"Cabanyes, Les",1,0,0,0,0,0
08028,Cabrera d'Anoia,1,0,0,0,0,0
08029,Cabrera de Mar,2,0,0,0,0,0
08030,Cabrils,3,0,0,0,0,0
08031,Calaf,2,0,0,0,0,0
08032,Caldes d'Estrac,2,0,0,0,0,0
08033,Caldes de Montbui,10,0,0,0,0,0
08034,Calders,1,0,0,0,0,0
08035,Calella,9,0,0,1,0,0
08036,Calonge de Segarra,1,0,0,0,0,0
08037,Calldetenes,1,0,0,0,0,0
08038,Callús,1,0,0,0,0,0
08039,Campins,1,0,0,0,0,0
08040,Canet de Mar,10,0,0,1,0,0
08041,Canovelles,8,0,0,1,0,1
08042,Cànoves i Samalús,2,0,0,0,0,0
08043,Canyelles,3,0,0,0,0,0
08044,Capellades,3,0,0,0,0,0
08045,Capolat,1,0,0,0,0,0
08046,Cardedeu,10,0,0,1,0,1
08047,Cardona,4,0,0,0,0,0
08048,Carme,1,0,0,0,0,0
08049,Casserres,1,0,0,0,0,0
08050,Castellar del Riu,1,0,0,0,0,0
08051,Castellar del Vallès,14,0,0,0,1,0
08052,Castellar de n'Hug,1,0,0,0,0,0
08053,Castellbell i el Vilar,2,0,0,0,0,0
08054,Castellbisbal,6,0,0,0,1,0
08055,Castellcir,1,0,0,0,0,0
08056,Castelldefels,37,1,0,1,0,0
08057,Castell de l'Areny,1,0,0,0,0,0
08058,Castellet i la Gornal,1,0,0,0,0,0
08059,Castellfollit del Boix,1,0,0,0,0,0
08060,Castellfollit de Riubregós,1,0,0,0,0,0
08061,Castellgalí,1,0,0,0,0,0
08062,Castellnou de Bages,1,0,0,0,0,0
08063,Castellolí,1,0,0,0,0,0
08064,Castellterçol,2,0,0,0,0,0
08065,Castellví de la Marca,1,0,0,0,0,0
08066,Castellví de Rosanes,1,0,0,0,0,0
08067,Centelles,4,0,0,0,0,0
08068,Cervelló,5,1,0,0,0,0
08069,Collbató,3,0,0,0,0,0
08070,Collsuspina,1,0,0,0,0,0
08071,Copons,1,0,0,0,0,0
08072,Corbera de Llobregat,11,1,0,0,0,0
08073,Cornellà de Llobregat,66,1,1,1,0,0
08074,Cubelles,10,0,0,0,0,0
08075,Dosrius,3,0,0,0,0,0
08076,Esparreguera,11,0,0,0,0,0
08077,Esplugues de Llobregat,28,1,1,1,0,0
08078,"Espunyola, L'",1,0,0,0,0,0
08079,"Estany, L'",1,0,0,0,0,0
08080,Fígols,1,0,0,0,0,0
08081,Fogars de Montclús,1,0,0,0,0,0
08082,Fogars de la Selva,1,0,0,0,0,0
08083,Folgueroles,1,0,0,0,0,0
08084,Fonollosa,1,0,0,0,0,0
08085,Font-rubí,1,0,0,0,0,0
08086,"Franqueses del Vallès, Les",11,0,0,1,0,1
08087,Gallifa,1,0,0,0,0,0
08088,"Garriga, La",10,0,0,0,0,0
08089,Gavà,29,1,0,1,0,0
08090,Gaià,1,0,0,0,0,0
08091,Gelida,3,0,0,0,0,0
08092,Gironella,3,0,0,0,0,0
08093,Gisclareny,1,0,0,0,0,0
08094,"Granada, La",1,0,0,0,0,0
08095,Granera,1,0,0,0,0,0
08096,Granollers,35,0,0,1,1,1
08097,Gualba,1,0,0,0,0,0
08098,Sant Salvador de Guardiola,2,0,0,0,0,0
08099,Guardiola de Berguedà,1,0,0,0,0,0
08100,Gurb,2,0,0,0,0,0
08101,"Hospitalet de Llobregat, L'",197,1,1,1,0,0
08102,Igualada,25,0,0,1,0,0
08103,Jorba,1,0,0,0,0,0
08104,"Llacuna, La",1,0,0,0,0,0
08105,"Llagosta, La",9,0,0,1,0,1
08106,Llinars del Vallès,6,0,0,0,0,0
08107,Lliçà d'Amunt,10,0,0,0,0,0
08108,Lliçà de Vall,4,0,0,0,0,0
08109,Lluçà,1,0,0,0,0,0
08110,Malgrat de Mar,9,0,0,1,0,0
08111,Malla,1,0,0,0,0,0
08112,Manlleu,12,0,0,1,0,0
08113,Manresa,52,0,0,1,0,0
08114,Martorell,15,0,0,1,1,0
08115,Martorelles,3,1,0,0,0,0
08116,"Masies de Roda, Les",1,0,0,0,0,0
08117,"Masies de Voltregà, Les",2,0,0,0,0,0
08118,"Masnou, El",14,0,0,0,0,0
08119,Masquefa,6,0,0,0,0,0
08120,Matadepera,4,0,0,0,0,0
08121,Mataró,75,0,0,1,0,0
08122,Mediona,1,0,0,0,0,0
08123,Molins de Rei,12,1,0,0,0,0
08124,Mollet del Vallès,31,1,0,1,1,1
08125,Montcada i Reixac,22,1,0,1,0,0
08126,Montgat,4,1,0,0,0,0
08127,Monistrol de Montserrat,2,0,0,0,0,0
08128,Monistrol de Calders,1,0,0,0,0,0
08129,Muntanyola,1,0,0,0,0,0
08130,Montclar,1,0,0,0,0,0
08131,Montesquiu,1,0,0,0,0,0
08132,Montmajor,1,0,0,0,0,0
08133,Montmaneu,1,0,0,0,0,0
08134,Figaró-Montmany,1,0,0,0,0,0
08135,Montmeló,7,0,0,1,1,1
08136,Montornès del Vallès,10,0,0,1,1,1
08137,Montseny,1,0,0,0,0,0
08138,Moià,3,0,0,0,0,0
08139,Mura,1,0,0,0,0,0
08140,Navarcles,3,0,0,0,0,0
08141,Navàs,4,0,0,0,0,0
08142,"Nou de Berguedà, La",1,0,0,0,0,0
08143,Òdena,2,0,0,0,0,0
08144,Olvan,1,0,0,0,0,0
08145,Olèrdola,2,0,0,0,0,0
08146,Olesa de Bonesvalls,2,0,0,0,0,0
08147,Olesa de Montserrat,12,0,0,1,0,0
08148,Olivella,2,0,0,0,0,0
08149,Olost,1,0,0,0,0,0
08150,Orís,1,0,0,0,0,0
08151,Oristà,1,0,0,0,0,0
08152,Orpí,1,0,0,0,0,0
08153,Òrrius,1,0,0,0,0,0
08154,Pacs del Penedès,1,0,0,0,0,0
08155,Palafolls,6,0,0,0,0,0
08156,Palau-solità i Plegamans,9,0,0,1,1,0
08157,Pallejà,5,1,0,0,0,0
08158,"Papiol, El",2,1,0,0,1,0
08159,Parets del Vallès,11,0,0,0,1,1
08160,Perafita,1,0,0,0,0,0
08161,Piera,9,0,0,0,0,0
08162,"Hostalets de Pierola, Els",1,0,0,0,0,0
08163,Pineda de Mar,14,0,0,1,0,0
08164,"Pla del Penedès, El",1,0,0,0,0,0
08165,"Pobla de Claramunt, La",1,0,0,0,0,0
08166,"Pobla de Lillet, La",1,0,0,0,0,0
08167,Polinyà,5,0,0,0,1,0
08168,Pontons,1,0,0,0,0,0
08169,"Prat de Llobregat, El",40,1,1,1,0,0
