nom,codi_centre,adreca,cp,CUSEC,zona,ist_entorn,tipus,naturalesa,lat,lon,cmc_actual,cmc_2019-2020,cmc_2020-2021,cmc_2021-2022,cmc_2022-2023,cmc_2023-2024,cmc_2024-2025
Escola Abat Marcet,8051306,"av. Abat Marcet, 324",8225,0827905022,08279Z02,104.2,CEIP,Públic,41.574490,2.004905,,,,,,,
Escola Agustí Bartra,8039653,"av. Barcelona, 69",8222,0827901013,08279Z04,87.3,CEIP,Públic,41.561880,2.027516,CMC,CMC,CMC,CMC,CMC,CMC,CMC
Airina,8029601,"c. Nord, 67",8221,0827901005,08279Z02,121.3,CEIP,Concertat,41.567120,2.013410,,,,,,,
Andersen,8029908,"c. Pérez Galdós, 15",8223,0827903001,08279Z04,101.9,CEIP,Concertat,41.558050,2.025081,,,,,,,
Institut Escola Antoni Ubach i Soler,8077125,"c. Dr. Aymerich i Gilabertó, 35",8224,0827902001,08279Z03,65.3,IE,Públic,41.566020,2.028619,CMC,,CMC,CMC,CMC,CMC,CMC
Escola Auró,8030285,"c. Germà Joaquim, 128",8223,0827903003,08279Z04,89.3,CEIP,Públic,41.554570,2.020981,CMC,CMC,CMC,CMC,CMC,CMC,CMC
Escola Bisbat d'Egara,8029374,"c. Sant Marian, 31-51",8221,0827901009,08279Z01,120.1,CEIP,Públic,41.559300,2.016298,,,,,,,
Creixen Terrassa,8030017,"c. Sant Pere, 36",8221,0827901001,08279Z02,124.5,CEIP,Concertat,41.564030,2.011809,,,,,,,
Delta,8029556,"ctra. de Matadepera, 91-97",8225,0827905003,08279Z02,101.1,CEIP,Concertat,41.572550,2.017844,,,,,,,
Egara,8030078,"ctra. de Castellar, 126",8222,0827901014,08279Z03,90.7,CEIP,Concertat,41.567450,2.025237,,,,,,,
El Cim,8029660,"c. Frederic Soler, 22",8224,0827904016,08279Z01,109.9,CEIP,Concertat,41.564000,2.002845,,,,,,,
Escola El Vallès,8038326,"ctra. de Martorell, 91",8224,0827904025,08279Z01,97.5,CEIP,Públic,41.556120,2.004463,CMC,CMC,CMC,CMC,CMC,CMC,CMC
Escola El Vapor,8067247,"c. Giralt i Serrà, 30",8221,0827901022,08279Z02,114.5,CEIP,Públic,41.569540,2.005910,,,,,,,
Escola Enxaneta,8058465,"c. Sometent Castella, 169",8225,0827905024,08279Z02,112.6,CEIP,Públic,41.579460,2.011761,,,,,,,
Escola Pia de Terrassa,8029647,"c. Col·legi, 14-16",8221,0827901007,08279Z01,119.2,CEIP,Concertat,41.559650,2.010787,,,,,,,
Institut Escola Feixes,8078312,"av. Vallès, 483",8226,0827906013,08279Z03,85.4,IE,Públic,41.578670,2.027241,CMC,,,,,CMC,CMC
Escola Font de l'Alba,8043437,"c. Consell de Cent, 146",8226,0827906031,08279Z02,83.6,CEIP,Públic,41.578760,2.019314,CMC,CMC,CMC,CMC,CMC,CMC,CMC
Escola Francesc Aldea i Pérez,8041246,"c. Alemanya, 146",8228,0827907004,08279Z04,101.4,CEIP,Públic,41.540210,2.047193,,,,,,,
Escola França,8029350,"c. Frederic Soler, 142",8224,0827904013,08279Z01,112,CEIP,Públic,41.568250,2.003019,,,,,,,
Goya,8029738,"c. Cavall Bernat, 16",8227,0827906016,08279Z03,79.4,CEIP,Concertat,41.579540,2.030401,,,,,,,
Escola Isaac Peral,8029507,"c. Alexandre Bell, 65",8224,0827904018,08279Z01,103.7,CEIP,Públic,41.563300,1.999770,,,,,,,
Escola Joan XXIII,8030315,"c. Joan XXIII, 25-33",8227,0827906026,08279Z03,91.3,CEIP,Públic,41.570860,2.035848,,,,,,,
Joaquima de Vedruna Terrassa,8029611,"ctra. de Castellar, 398",8227,0827906023,08279Z03,87.9,CEIP,Concertat,41.575180,2.032184,,,,,,,
Escola Josep Ventalló i Vintró,8030212,"c. Amèrica, s/n(Can Parellada)",8228,0827907003,08279Z04,77,CEIP,Públic,41.539200,2.042022,,CMC,CMC,,,,
L'Avet,8030005,"c. Cardaire, 23",8221,0827901001,08279Z02,124.5,CEIP,Concertat,41.563860,2.012540,,,,,,,
